# T0.100000, T1.100000, T2.100000, 
-0.134956, 0.121904, -0.029992, 
-0.150364, 0.003824, -0.011444, 
0.009764, 0.058960, 0.015384, 
-0.182828, -0.072568, -0.046144, 
0.077828, 0.064072, -0.036172, 
-0.094016, -0.107572, -0.120696, 
0.106564, -0.020472, -0.039432, 
0.159084, -0.056736, 0.040084, 
-0.205984, 0.111552, 0.032348, 
-0.115648, -0.036344, 0.242512, 
0.040820, -0.002988, -0.098628, 
-0.028344, 0.028572, -0.073120, 
-0.174852, 0.015772, -0.080316, 
-0.121392, -0.095076, 0.011520, 
-0.019608, 0.070452, 0.008336, 
0.086720, -0.014092, 0.036908, 
-0.128756, -0.008512, -0.021148, 
0.148516, 0.015268, 0.124532, 
-0.130640, 0.140004, 0.073332, 
0.017532, -0.087588, 0.151800, 
0.020776, -0.003048, -0.069568, 
-0.026112, 0.117132, 0.016316, 
0.032620, -0.077764, 0.005344, 
-0.007628, -0.023808, 0.048072, 
0.126712, -0.032040, 0.037676, 
-0.004128, 0.052296, 0.012212, 
-0.031688, 0.076456, -0.045736, 
-0.115560, 0.065240, 0.060340, 
-0.104844, 0.064468, -0.049464, 
-0.067004, -0.001180, 0.073320, 
-0.093772, -0.007536, 0.089308, 
0.104056, 0.108132, -0.046096, 
-0.192824, -0.049284, 0.043340, 
0.133560, -0.070588, -0.000800, 
-0.004836, 0.072780, -0.062892, 
-0.112984, -0.014604, -0.059208, 
-0.132904, -0.021340, 0.056844, 
-0.074540, -0.006112, 0.028904, 
0.116040, -0.083764, -0.068996, 
-0.002904, -0.012384, 0.111328, 
-0.118468, -0.045300, 0.050684, 
0.050712, 0.152584, 0.083000, 
0.007860, -0.071436, -0.153132, 
0.138216, -0.136016, 0.049160, 
0.103032, -0.162964, 0.132368, 
-0.000792, 0.090768, -0.017320, 
-0.095952, 0.007364, -0.107928, 
-0.026528, -0.080416, -0.028444, 
-0.038424, -0.050996, -0.066632, 
-0.109484, -0.021576, 0.108064, 
-0.114824, 0.057212, -0.065460, 
0.021020, -0.025688, -0.089132, 
-0.023880, -0.149644, -0.071608, 
-0.138084, -0.082368, -0.004168, 
-0.034572, -0.069488, 0.030644, 
0.164764, -0.032232, 0.007296, 
-0.018324, -0.065988, 0.037156, 
0.156568, 0.044924, -0.033268, 
0.007012, -0.131348, 0.001460, 
-0.095180, -0.046692, 0.013688, 
0.000972, 0.072028, 0.115488, 
0.056776, 0.020060, 0.064300, 
-0.077100, 0.068828, 0.064212, 
-0.024004, 0.025132, -0.171872, 
-0.042848, -0.003832, -0.048576, 
0.041228, 0.023176, -0.040048, 
-0.045620, 0.051304, -0.003668, 
